,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Thr_comb,ARS_Load_chi,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Load_comb
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.050,0.190,0.040,0.010,0.060,0.100,0.000,0.050
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.010,0.000,0.000,0.050,0.010,0.000,0.010
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.040,0.060,0.000,0.010,0.070,0.000,0.000,0.050
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.090,0.000,0.000,0.000,0.080,0.000,0.000,0.000
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.040,0.090,0.000,0.030,0.080,0.120,0.000,0.070
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.110,0.030,0.000,0.010,0.060,0.000,0.000,0.010
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.040,0.000,0.010,0.040,0.000,0.000,0.030
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.080,0.000,0.000,0.000,0.040,0.000,0.000,0.000
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.048,0.000,0.000
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.000,0.050,0.000,0.000,0.070,0.000,0.000,0.010
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.000,0.043,0.000,0.000,0.010,0.000,0.000,0.010
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.000,0.000
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.110,0.110,0.000,0.050,0.130,0.100,0.000,0.110
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.210
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.140,0.060,0.000,0.040,0.150,0.000,0.000,0.040
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,0.000,0.000,0.040
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.070,0.100,0.000,0.010,0.090,0.090,0.000,0.060
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.010,0.000,0.000,0.540,0.000,0.000,0.240
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.040,0.040,0.000,0.010,0.250,0.010,0.000,0.070
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.000,0.000,0.070
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.010,0.087,0.000,0.000,0.020,0.027,0.000,0.010
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.023,0.000,0.000,0.080,0.000,0.000,0.020
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.010,0.000,0.000,0.000,0.020,0.000,0.000,0.000
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.110,0.000,0.000,0.000
